Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE,Validation non-reject accuracy ML
M3,Lasso,0.5308450899679176,0.557775417572562,0.21939398332206458,0.22251337247518824,0.319
M3,Linear Regression,0.5714083412241409,0.5857358982123684,0.20969517499126725,0.21536410782617252,0.324
M3,ElasticNet,0.5308450899737353,0.5577753864097859,0.2193939833207043,0.222513380315248,0.319
M5,Lasso,0.2675027721848132,0.27776171082864376,0.2364293514612174,0.2337002033910898,0.362
M5,Linear Regression,0.5198796092832498,0.5322467760685424,0.19141390074235404,0.18807333719141545,0.398
M5,ElasticNet,0.2675027721899774,0.27776168932914524,0.236429351460384,0.23370020686946888,0.362
M0,Lasso,0.5569064703890749,0.5979136005773872,0.20272492738532613,0.2054139665411663,0.428
M0,Linear Regression,0.6764380326720119,0.7093739637606455,0.173236014262927,0.17463751243630588,0.466
M0,ElasticNet,0.5569064703890816,0.5979136050518876,0.20272492738532463,0.2054139653982218,0.428
M3,Lasso,0.5410404431077374,0.5139477155188812,0.22294219214987918,0.22297002260990895,0.342
M3,Linear Regression,0.5743512475066022,0.5561311807310301,0.21469935553071356,0.21307490452584246,0.355
M3,ElasticNet,0.541040443113139,0.5139476102646869,0.22294219214856723,0.22297004675188864,0.342
M5,Lasso,0.2694988663646676,0.30507386910863454,0.23185209610899715,0.25143737589854454,0.324
M5,Linear Regression,0.5353429814414431,0.5081558543684334,0.1849127384109427,0.21153111933442295,0.37
M5,ElasticNet,0.2694988663694582,0.30507406057546793,0.23185209610823693,0.2514373412603871,0.324
M0,Lasso,0.5929084525307504,0.5287067836432198,0.20024148914788237,0.2129847272744938,0.419
M0,Linear Regression,0.7226073959757519,0.6005531068895893,0.16529338081096784,0.19607959064314173,0.458
M0,ElasticNet,0.593233632539307,0.5293548759796862,0.20016149788063778,0.21283823539724947,0.419
M3,Lasso,0.5049595246819647,0.5138187788897144,0.22318287078843654,0.22539247517672212,0.333
M3,Linear Regression,0.5396525781015258,0.5376613835061184,0.21522036457080018,0.21979631518815773,0.341
M3,ElasticNet,0.5049595246881864,0.5138187207948817,0.22318287078703405,0.2253924886430359,0.333
M5,Lasso,0.2786036279730979,0.31978553141771826,0.24081678588912092,0.22485647493929833,0.318
M5,Linear Regression,0.5428724522988758,0.5177312826009115,0.19169839451679574,0.18933330296161363,0.385
M5,ElasticNet,0.2786036279777292,0.31978561929734395,0.2408167858883479,0.22485646041424456,0.318
M0,Lasso,0.5674566293450318,0.5804537002305012,0.1991758560820137,0.20438622777017904,0.415
M0,Linear Regression,0.6863881440917334,0.6925505789178285,0.16959697379948374,0.17496392810853828,0.471
M0,ElasticNet,0.5768927802998591,0.5554182486480818,0.19699131548566265,0.2103960087079656,0.418
M3,Lasso,0.5357918164244876,0.5217609647897727,0.22339859428000877,0.22827501355636112,0.334
M3,Linear Regression,0.5635587680837109,0.5487578104339647,0.21661420158944353,0.2217383009223304,0.316
M3,ElasticNet,0.5357918164297004,0.5217609041680039,0.22339859427875444,0.22827502802447608,0.334
M5,Lasso,0.27600868578002746,0.2765565151360445,0.23980139991879604,0.2384259877672679,0.346
M5,Linear Regression,0.5115252354738262,0.5335002700996938,0.19697272911493735,0.19145952799869365,0.41
M5,ElasticNet,0.2760086857843961,0.27655658050312526,0.23980139991807256,0.23842597699572077,0.346
M0,Lasso,0.5541249239266289,0.5480169686106646,0.20401471513138963,0.21054737881576635,0.42
M0,Linear Regression,0.6552250145420642,0.6304926497337485,0.17940013662366167,0.19037079112981264,0.454
M0,ElasticNet,0.5544072134776286,0.5487115142994875,0.20395012266619572,0.21038554641754142,0.418
M3,Lasso,0.533992476934819,0.5186033488342061,0.22563592615637112,0.22794313440498343,0.326
M3,Linear Regression,0.5729404874635794,0.5640930566535454,0.21600111154352258,0.2169061554945354,0.343
M3,ElasticNet,0.5339924769396409,0.518603423928258,0.22563592615520375,0.22794311662632402,0.326
M5,Lasso,0.3081732691307928,0.24459666490416046,0.2357803627169241,0.24519803120265168,0.347
M5,Linear Regression,0.5478302719534192,0.5130013867305132,0.19061615465915355,0.19687537214346856,0.41
M5,ElasticNet,0.30817326913519594,0.24459652811928523,0.23578036271617378,0.24519805340230255,0.347
M0,Lasso,0.5694461152584944,0.5635853973706806,0.20434466817086236,0.21200675325050158,0.404
M0,Linear Regression,0.6792422660634875,0.6702921979795121,0.176375445090817,0.1842742576419425,0.464
M0,ElasticNet,0.5715748641704523,0.5644464611539283,0.20383888071917797,0.2117975010048454,0.396
