Repetition ID,Dataset ID,CNN Model,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE,Validation non-reject accuracy ML
1,M3,ResNet,Random Forest,0.982,0.874899625428913,0.04326661530556787,0.11834883326831415,0.555
1,M3,ResNet,Ada Boost,0.999,0.8741008951199484,0.00979642792042079,0.11872604394963714,0.557
1,M3,ResNet,Support Vector Machine,0.897,0.8793677922043001,0.10256705123966468,0.11621610447990499,0.552
1,M3,AlexNet,Random Forest,0.975,0.8292055740306614,0.05087238936790762,0.13828386908873264,0.478
1,M3,AlexNet,Ada Boost,0.999,0.8185689036794378,0.01202497401244593,0.14252483215852393,0.476
1,M3,AlexNet,Support Vector Machine,0.844,0.8383363804953742,0.1266491215919005,0.13453671672732187,0.465
1,M3,VGGNet,Random Forest,0.983,0.8909452926802749,0.042237424163885755,0.11049862759675129,0.556
1,M3,VGGNet,Ada Boost,0.999,0.8835959196772625,0.010416333327999829,0.11416126639612556,0.569
1,M3,VGGNet,Support Vector Machine,0.888,0.8935107451640915,0.1070980858839223,0.10919118264313958,0.572
1,M3,SqueezeNet,Random Forest,0.969,0.8015985762786747,0.05616048432839589,0.14904145030056937,0.464
1,M3,SqueezeNet,Ada Boost,0.999,0.8017030349959903,0.00861974477580398,0.14900220983493315,0.471
1,M3,SqueezeNet,Support Vector Machine,0.778,0.7972520278014164,0.15089731607951148,0.15066519410908166,0.467
1,M5,ResNet,Random Forest,0.972,0.8184686423915992,0.045912961132995984,0.11716412779033578,0.578
1,M5,ResNet,Ada Boost,0.998,0.8203497841244052,0.01355728586406586,0.11655548282169696,0.56
1,M5,ResNet,Support Vector Machine,0.844,0.8299759097298561,0.10927030703718188,0.11338982001480347,0.593
1,M5,AlexNet,Random Forest,0.968,0.7825747598125117,0.04962862077471023,0.12822532700472108,0.533
1,M5,AlexNet,Ada Boost,0.997,0.7617112372338983,0.01455678535941229,0.1342364991058823,0.554
1,M5,AlexNet,Support Vector Machine,0.803,0.7931815480159919,0.12243365550370536,0.12505857554123537,0.551
1,M5,VGGNet,Random Forest,0.974,0.8343289831502452,0.044283179650969055,0.11192886631113169,0.563
1,M5,VGGNet,Ada Boost,0.998,0.8270853572603254,0.01267675037223657,0.11434961899177999,0.557
1,M5,VGGNet,Support Vector Machine,0.849,0.8338390002710956,0.1070980858839223,0.11209426258400593,0.566
1,M5,SqueezeNet,Random Forest,0.968,0.7697092368353659,0.04977951385861457,0.13196449359974885,0.528
1,M5,SqueezeNet,Ada Boost,0.998,0.7625019763714954,0.013095800853708794,0.13401358834485552,0.516
1,M5,SqueezeNet,Support Vector Machine,0.781,0.784201569474944,0.12946041866145808,0.12774472535412465,0.537
1,M0,ResNet,Random Forest,0.984,0.9032502298762828,0.03876854394996026,0.1007616447916232,0.645
1,M0,ResNet,Ada Boost,0.991,0.915899620423522,0.028140717830218903,0.09394404484535653,0.65
1,M0,ResNet,Support Vector Machine,0.928,0.912038210895881,0.08192069335644078,0.0960765289035685,0.642
1,M0,AlexNet,Random Forest,0.985,0.9088688463528359,0.03713488925525428,0.09779208625570551,0.66
1,M0,AlexNet,Ada Boost,0.991,0.9061208004312913,0.029664793948382652,0.09925558794164774,0.653
1,M0,AlexNet,Support Vector Machine,0.919,0.9117406363117057,0.08653900854527974,0.09623890505757003,0.664
1,M0,VGGNet,Random Forest,0.986,0.9187973012798674,0.035510561809129405,0.09231143638100271,0.664
1,M0,VGGNet,Ada Boost,0.995,0.9154642338661948,0.022329352879114073,0.09418690447222608,0.658
1,M0,VGGNet,Support Vector Machine,0.92,0.9214654424063805,0.086,0.09078219474520978,0.673
1,M0,SqueezeNet,Random Forest,0.981,0.8823398569387576,0.04143669871020132,0.11111814002886916,0.631
1,M0,SqueezeNet,Ada Boost,0.994,0.8877410422216616,0.02382225849914319,0.10853774145205426,0.622
1,M0,SqueezeNet,Support Vector Machine,0.896,0.8945175500218332,0.09833107342035884,0.10521081417112634,0.63
2,M3,ResNet,Random Forest,0.983,0.8721594945752258,0.04331281565541543,0.11435080414781618,0.548
2,M3,ResNet,Ada Boost,0.999,0.8673965058677687,0.009473647660748208,0.11646152362637975,0.549
2,M3,ResNet,Support Vector Machine,0.897,0.8772599034035196,0.10578279633286312,0.11204647907724137,0.551
2,M3,AlexNet,Random Forest,0.977,0.8321712382885909,0.0500999001995014,0.13102017605393843,0.485
2,M3,AlexNet,Ada Boost,0.998,0.8185500810895063,0.01502664300500947,0.1362333301276166,0.482
2,M3,AlexNet,Support Vector Machine,0.857,0.8391857334876512,0.12461942063739503,0.12825292264429441,0.514
2,M3,VGGNet,Random Forest,0.982,0.8781592266804624,0.044732538492690085,0.11163523911433312,0.552
2,M3,VGGNet,Ada Boost,0.999,0.873901867196608,0.011054410884348383,0.11356887178791372,0.55
2,M3,VGGNet,Support Vector Machine,0.886,0.8810514023571779,0.11095043938624127,0.11030231989112682,0.554
2,M3,SqueezeNet,Random Forest,0.973,0.8023621906649082,0.053768020235080254,0.14218048759127078,0.481
2,M3,SqueezeNet,Ada Boost,0.999,0.8062129884699317,0.00979642792042079,0.14078854355423878,0.494
2,M3,SqueezeNet,Support Vector Machine,0.814,0.8057452280948137,0.1420211251891774,0.1409583578497481,0.482
2,M5,ResNet,Random Forest,0.971,0.8235292556667231,0.04586937976471886,0.1267059102082224,0.536
2,M5,ResNet,Ada Boost,0.998,0.8209428961309391,0.012231107881136525,0.12763103532985406,0.551
2,M5,ResNet,Support Vector Machine,0.841,0.8348440103133126,0.10830512453249846,0.12257663044958109,0.567
2,M5,AlexNet,Random Forest,0.968,0.7902911359543113,0.048774993593028795,0.13812392411079963,0.504
2,M5,AlexNet,Ada Boost,0.996,0.773317871909608,0.01629723902997069,0.14360486560701377,0.508
2,M5,AlexNet,Support Vector Machine,0.799,0.7934488310166106,0.12161414391426681,0.1370800780146844,0.521
2,M5,VGGNet,Random Forest,0.971,0.832744174405911,0.04581484475582123,0.12335340468955519,0.555
2,M5,VGGNet,Ada Boost,0.998,0.8272226839938449,0.012763228431709588,0.12537295897001166,0.546
2,M5,VGGNet,Support Vector Machine,0.83,0.8382204287488758,0.11184811129384349,0.12131719333089962,0.564
2,M5,SqueezeNet,Random Forest,0.966,0.7809113027003374,0.05006995106848019,0.14117912985693268,0.507
2,M5,SqueezeNet,Ada Boost,0.998,0.7748304059345946,0.012288205727444507,0.1431249627815443,0.505
2,M5,SqueezeNet,Support Vector Machine,0.771,0.7839212039653477,0.12973048986263794,0.14020599699211236,0.515
2,M0,ResNet,Random Forest,0.984,0.8572022370436236,0.03939543120718442,0.11723669578813342,0.645
2,M0,ResNet,Ada Boost,0.991,0.861350295293044,0.030389142798045488,0.1155213730815934,0.653
2,M0,ResNet,Support Vector Machine,0.927,0.8658815153576159,0.08507643622061281,0.1136180121676015,0.665
2,M0,AlexNet,Random Forest,0.986,0.8666599332950564,0.03706750598570128,0.11328781532144885,0.673
2,M0,AlexNet,Ada Boost,0.993,0.8640678767675865,0.025988458977015162,0.11438364136488939,0.659
2,M0,AlexNet,Support Vector Machine,0.925,0.866646688948426,0.08585452812752511,0.11329344148422076,0.672
2,M0,VGGNet,Random Forest,0.986,0.8746733324454001,0.03676955262170047,0.10983091803720861,0.662
2,M0,VGGNet,Ada Boost,0.994,0.8720755962449885,0.024310491562286436,0.11096335225330987,0.658
2,M0,VGGNet,Support Vector Machine,0.923,0.8769493976546128,0.08701149349367587,0.10882902535476265,0.653
2,M0,SqueezeNet,Random Forest,0.983,0.8447386418015724,0.04039801975344831,0.12224597206183775,0.629
2,M0,SqueezeNet,Ada Boost,0.994,0.8451068123610378,0.023836946113124476,0.12210094537402277,0.62
2,M0,SqueezeNet,Support Vector Machine,0.902,0.8470813958617786,0.09818350166906861,0.12132017561949957,0.619
3,M3,ResNet,Random Forest,0.981,0.8628370475183094,0.043692104549906956,0.11971780216176285,0.565
3,M3,ResNet,Ada Boost,0.999,0.8617142325514136,0.0076223356000638025,0.12020680799624466,0.551
3,M3,ResNet,Support Vector Machine,0.89,0.867332226956252,0.10526157893552614,0.11773973185014674,0.567
3,M3,AlexNet,Random Forest,0.975,0.8184450123381484,0.05041825066382212,0.13773503222451153,0.495
3,M3,AlexNet,Ada Boost,0.998,0.8031345871262376,0.013183322798141597,0.14342505787506452,0.467
3,M3,AlexNet,Support Vector Machine,0.847,0.8247989782437355,0.12417729261020309,0.13530337822695643,0.482
3,M3,VGGNet,Random Forest,0.981,0.8659935115709279,0.04319722213291035,0.11833228102424288,0.565
3,M3,VGGNet,Ada Boost,0.999,0.8580641892953602,0.007987490219086344,0.12178290070555418,0.532
3,M3,VGGNet,Support Vector Machine,0.885,0.8731283785045202,0.10770329614269007,0.11513903043764775,0.568
3,M3,SqueezeNet,Random Forest,0.968,0.7804425320059711,0.05655086206239477,0.15146574651656294,0.46
3,M3,SqueezeNet,Ada Boost,0.999,0.7771606923731734,0.008891569040388765,0.1525935662559389,0.469
3,M3,SqueezeNet,Support Vector Machine,0.786,0.7862769120792175,0.1466628787389638,0.14943971924760854,0.469
3,M5,ResNet,Random Forest,0.973,0.8074086867581605,0.04646504062195577,0.1196467241863706,0.55
3,M5,ResNet,Ada Boost,0.997,0.7969264460938819,0.014546477236774545,0.12285961496068419,0.552
3,M5,ResNet,Support Vector Machine,0.846,0.8131242091876455,0.11113055385446434,0.11785797828735502,0.556
3,M5,AlexNet,Random Forest,0.968,0.7802499599731278,0.05049752469181039,0.12780473574383175,0.528
3,M5,AlexNet,Ada Boost,0.996,0.7648448565831314,0.017190113437671087,0.13220860001092816,0.522
3,M5,AlexNet,Support Vector Machine,0.814,0.7841303141582276,0.12231107881136524,0.12667131965118192,0.541
3,M5,VGGNet,Random Forest,0.974,0.8041368676596348,0.04538722287164087,0.12065874758523495,0.56
3,M5,VGGNet,Ada Boost,0.998,0.7979053707285008,0.013095800853708794,0.12256313224840436,0.545
3,M5,VGGNet,Support Vector Machine,0.844,0.8106239738171483,0.1120714058089752,0.11864377725965593,0.567
3,M5,SqueezeNet,Random Forest,0.967,0.7748868118391211,0.051643005334701425,0.1293549149108897,0.519
3,M5,SqueezeNet,Ada Boost,0.998,0.7718136369028389,0.013304134695650071,0.1302348782938359,0.533
3,M5,SqueezeNet,Support Vector Machine,0.781,0.7869293653422467,0.13270267518026907,0.1258474050805105,0.548
3,M0,ResNet,Random Forest,0.984,0.8594026077137449,0.03836665218650176,0.11831786204161408,0.673
3,M0,ResNet,Ada Boost,0.986,0.8871193168165161,0.03574912586343896,0.10601601978913942,0.691
3,M0,ResNet,Support Vector Machine,0.927,0.8760703629410171,0.08192069335644078,0.11108342700037926,0.675
3,M0,AlexNet,Random Forest,0.985,0.8841285371182583,0.03674234614174767,0.10741128831771059,0.674
3,M0,AlexNet,Ada Boost,0.986,0.8881675978186403,0.03634556369077249,0.10552260586848035,0.685
3,M0,AlexNet,Support Vector Machine,0.915,0.88983971306147,0.088175960442742,0.1047307491009621,0.694
3,M0,VGGNet,Random Forest,0.986,0.8961092307019346,0.035930488446443365,0.10170684014530867,0.697
3,M0,VGGNet,Ada Boost,0.981,0.8860447288896269,0.0412189276910499,0.10651944378399007,0.686
3,M0,VGGNet,Support Vector Machine,0.915,0.8900400541334963,0.0885211839053229,0.10463547239374585,0.708
3,M0,SqueezeNet,Random Forest,0.981,0.8663426787619084,0.041533119314590375,0.11536074631989748,0.659
3,M0,SqueezeNet,Ada Boost,0.991,0.8697097936043232,0.02946353678701863,0.11389838514670811,0.675
3,M0,SqueezeNet,Support Vector Machine,0.892,0.8718100762553882,0.09957911427603681,0.11297663242149107,0.679
4,M3,ResNet,Random Forest,0.982,0.8709605700849714,0.04437341546466758,0.11857607874130073,0.556
4,M3,ResNet,Ada Boost,0.999,0.8647917519430851,0.0076223356000638025,0.12137729628393108,0.535
4,M3,ResNet,Support Vector Machine,0.892,0.876349749870336,0.10802777420645118,0.11607357644502335,0.557
4,M3,AlexNet,Random Forest,0.975,0.8241289312455267,0.0521344415909483,0.13843090809733616,0.501
4,M3,AlexNet,Ada Boost,0.998,0.8136902482759483,0.013942740046346701,0.1424799191491607,0.487
4,M3,AlexNet,Support Vector Machine,0.847,0.8308309267903582,0.12814054783713077,0.13576766582225508,0.506
4,M3,VGGNet,Random Forest,0.982,0.8796326204063399,0.043462627624201465,0.1145223548255297,0.585
4,M3,VGGNet,Ada Boost,0.999,0.8735620005679069,0.009777013859047147,0.11737474837842538,0.568
4,M3,VGGNet,Support Vector Machine,0.887,0.8844842249223546,0.11,0.1121906113754487,0.578
4,M3,SqueezeNet,Random Forest,0.971,0.7973421789417027,0.056071383075504744,0.14859956938036908,0.466
4,M3,SqueezeNet,Ada Boost,0.999,0.7970253689377726,0.007913911801378633,0.14871567505390404,0.476
4,M3,SqueezeNet,Support Vector Machine,0.801,0.8004586484485798,0.14628738838327793,0.14745256144216456,0.475
4,M5,ResNet,Random Forest,0.974,0.8113433285123806,0.045464271686677216,0.1217551582557837,0.558
4,M5,ResNet,Ada Boost,0.997,0.8059156193102488,0.0146935359937627,0.12349420499476899,0.567
4,M5,ResNet,Support Vector Machine,0.853,0.8274162532695412,0.10821275340735029,0.11645314777218266,0.59
4,M5,AlexNet,Random Forest,0.969,0.7951192559540703,0.049949974974968704,0.1268825379373344,0.548
4,M5,AlexNet,Ada Boost,0.996,0.7854152331218492,0.01816039647144302,0.12985262396095446,0.508
4,M5,AlexNet,Support Vector Machine,0.805,0.8025695057636487,0.1245391504708459,0.12455420726132216,0.556
4,M5,VGGNet,Random Forest,0.975,0.8264802974969117,0.04474371464239418,0.11676849502232316,0.576
4,M5,VGGNet,Ada Boost,0.998,0.8167892588538294,0.013780420893427021,0.11998494351596908,0.573
4,M5,VGGNet,Support Vector Machine,0.847,0.8363069034276469,0.1103177229641729,0.11341394774647699,0.589
4,M5,SqueezeNet,Random Forest,0.968,0.7754577912267822,0.050576674465607166,0.13283125649550442,0.535
4,M5,SqueezeNet,Ada Boost,0.998,0.7708192515422692,0.012817956155331474,0.13419624144027475,0.528
4,M5,SqueezeNet,Support Vector Machine,0.783,0.7853754012895634,0.13145341380123987,0.12986467520768144,0.542
4,M0,ResNet,Random Forest,0.982,0.8676181439448069,0.04048456495999432,0.11394702916446833,0.656
4,M0,ResNet,Ada Boost,0.987,0.8876429911644343,0.03420526275297414,0.10497571908868891,0.671
4,M0,ResNet,Support Vector Machine,0.925,0.8762376080662053,0.08361220006673667,0.11017501567109055,0.66
4,M0,AlexNet,Random Forest,0.985,0.8900213168927816,0.037013511046643494,0.10385873566301267,0.668
4,M0,AlexNet,Ada Boost,0.988,0.8853394767488102,0.03307567081708245,0.10604635202806757,0.693
4,M0,AlexNet,Support Vector Machine,0.921,0.8876782154978747,0.08593602271457529,0.10495926266275392,0.664
4,M0,VGGNet,Random Forest,0.984,0.8954254926071659,0.038379682124790974,0.1012748684050981,0.669
4,M0,VGGNet,Ada Boost,0.989,0.8858266156206791,0.032,0.105820841605049,0.654
4,M0,VGGNet,Support Vector Machine,0.915,0.8958623666632671,0.08890444308357147,0.10106310231786918,0.667
4,M0,SqueezeNet,Random Forest,0.981,0.860459387216026,0.04240283009422838,0.11698739937034373,0.637
4,M0,SqueezeNet,Ada Boost,0.993,0.8657717742364018,0.025442091109026396,0.11473890440117426,0.639
4,M0,SqueezeNet,Support Vector Machine,0.89,0.8645613364618117,0.10134100848126586,0.11525508719683439,0.664
5,M3,ResNet,Random Forest,0.982,0.8622666415685735,0.04401136216933077,0.12192550193059623,0.541
5,M3,ResNet,Ada Boost,0.999,0.8590574162465385,0.010714476188783099,0.12333777167984454,0.539
5,M3,ResNet,Support Vector Machine,0.899,0.8699166922046556,0.1052140675005011,0.11849111040801762,0.544
5,M3,AlexNet,Random Forest,0.976,0.8276590856750261,0.05155579501860097,0.13638580764608235,0.478
5,M3,AlexNet,Ada Boost,0.998,0.814514733953716,0.013053735097664576,0.14149128543985637,0.469
5,M3,AlexNet,Support Vector Machine,0.846,0.837665461023608,0.12953763931769022,0.13236722050422342,0.496
