Repetition ID,Dataset ID,CNN Model,Training time (s),Training CEL,Validation CEL,Validation reject accuracy,Validation non-reject accuracy,Validation non-reject accuracy +1
1,M3,ResNet,2505.34,0.924,1.0080041770935058,0.71,0.6269487750556793,0.967706013363029
1,M3,AlexNet,1548.16,1.18,1.0859439764618875,0.93,0.5818181818181818,0.9386363636363636
1,M3,VGGNet,5555.93,0.893,1.855632915019989,0.88,0.3575418994413408,0.8346368715083798
1,M3,SqueezeNet,3808.09,1.23,1.2404832410812379,0.9,0.5226244343891403,0.9242081447963801
1,M5,ResNet,2434.4,0.805,1.1697532029747963,0.74,0.5975473801560758,0.939799331103679
1,M5,AlexNet,1492.07,1.14,2.1703736408948897,0.57,0.2650334075723831,0.7160356347438753
1,M5,VGGNet,5485.35,0.727,1.093510751724243,0.84,0.6154708520179372,0.9742152466367713
1,M5,SqueezeNet,3609.89,1.1,1.136977560043335,0.52,0.5519553072625698,0.9418994413407821
1,M0,ResNet,2640.53,0.385,0.9438539867401123,0.69,0.7391304347826086,0.979933110367893
1,M0,AlexNet,1520.89,0.726,0.8360990908741951,0.75,0.7282850779510023,0.9799554565701559
1,M0,VGGNet,5461.28,0.299,1.0326444628238678,0.84,0.7593220338983051,0.9819209039548022
1,M0,SqueezeNet,3753.05,0.832,0.885145210981369,0.69,0.7298206278026906,0.9697309417040358
2,M3,ResNet,2559.81,0.95,1.0574710206985474,0.82,0.5741360089186176,0.959866220735786
2,M3,AlexNet,1523.56,1.17,1.0376414276361465,0.9,0.6067415730337079,0.9561797752808989
2,M3,VGGNet,5576.23,0.881,1.086508915543556,0.62,0.5550611790878754,0.9699666295884316
2,M3,SqueezeNet,3785.37,1.21,1.1569528903961181,0.76,0.5440356744704571,0.9297658862876255
2,M5,ResNet,2556.7,0.809,1.088702780008316,0.65,0.6002227171492205,0.955456570155902
2,M5,AlexNet,1551.34,1.13,1.2168921574354172,0.52,0.5417130144605117,0.9210233592880979
2,M5,VGGNet,5541.6,0.705,1.6998180400133134,0.72,0.48552338530066813,0.8975501113585747
2,M5,SqueezeNet,3814.35,1.1,1.234784854888916,0.65,0.5597765363128492,0.9162011173184358
2,M0,ResNet,2624.48,0.374,0.9991915430426598,0.8,0.7348314606741573,0.9775280898876404
2,M0,AlexNet,1495.36,0.725,0.8512988666296005,0.8,0.7300337457817773,0.9865016872890888
2,M0,VGGNet,5456.58,0.318,1.087465140044689,0.7,0.7388392857142857,0.9888392857142857
2,M0,SqueezeNet,3707.68,0.832,0.9093999357223511,0.79,0.7220338983050848,0.9774011299435028
3,M3,ResNet,2569.19,0.935,1.205519960284233,0.63,0.5618729096989966,0.9420289855072463
3,M3,AlexNet,1510.28,1.15,1.0276765685081481,0.68,0.6124721603563474,0.967706013363029
3,M3,VGGNet,5348.28,0.885,0.998707259774208,0.8,0.6390134529147982,0.9708520179372198
3,M3,SqueezeNet,3652.04,1.23,1.181046061515808,0.77,0.5211581291759465,0.9242761692650334
3,M5,ResNet,2394.42,0.833,1.072809107542038,0.83,0.6004464285714286,0.953125
3,M5,AlexNet,1473.16,1.14,1.1222168638706207,0.88,0.5609480812641083,0.9255079006772009
3,M5,VGGNet,5508.6,0.717,1.832794964313507,0.79,0.43798882681564244,0.8916201117318435
3,M5,SqueezeNet,3656.67,1.11,1.0344101943969726,0.85,0.647982062780269,0.9630044843049327
3,M0,ResNet,2520.86,0.361,1.1157738494873046,0.83,0.6961883408071748,0.9775784753363229
3,M0,AlexNet,1532.5,0.731,0.8713846660852432,0.81,0.7142857142857143,0.984375
3,M0,VGGNet,5470.51,0.308,1.0975571864247322,0.8,0.7157190635451505,0.979933110367893
3,M0,SqueezeNet,3707.6,0.828,0.9906464121341705,0.6,0.6495535714285714,0.9799107142857143
4,M3,ResNet,2537.73,0.925,1.0732259633541108,0.95,0.5815523059617548,0.9505061867266592
4,M3,AlexNet,1519.75,1.17,1.1154915484189987,0.75,0.575083426028921,0.9399332591768632
4,M3,VGGNet,5439.98,0.897,1.0693153100013733,0.53,0.5944444444444444,0.9633333333333334
4,M3,SqueezeNet,3731.76,1.22,1.1829853820800782,0.71,0.5434298440979956,0.9276169265033407
4,M5,ResNet,2579.29,0.846,1.1283888351917266,0.57,0.578420467185762,0.9510567296996663
4,M5,AlexNet,1518.1,1.14,1.1011288208961487,0.92,0.5995449374288965,0.9533560864618885
4,M5,VGGNet,5498.7,0.727,1.0411423600912093,0.91,0.6452702702702703,0.956081081081081
4,M5,SqueezeNet,3435.64,1.11,1.0853224153518677,0.7,0.6116071428571429,0.9252232142857143
4,M0,ResNet,2439.18,0.385,0.9537605400085449,0.78,0.7508379888268156,0.9698324022346368
