Repetition ID,Dataset ID,Training time (s),Training CEL,Validation CEL,Validation reject accuracy,Validation non-reject accuracy,Validation non-reject accuracy +1,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE,Validation non-reject accuracy ML
1,M3,14529.13,0.763,1.1880971844792365,0.62,0.5407821229050279,0.9530726256983241,Random Forest,0.981,0.8551708315909557,0.044810713004816156,0.12168128640828807,0.562
1,M3,14529.13,0.763,1.1880971844792365,0.62,0.5407821229050279,0.9530726256983241,Ada Boost,0.999,0.8482622200791698,0.010945318634009701,0.12454968591845429,0.557
1,M3,14529.13,0.763,1.1880971844792365,0.62,0.5407821229050279,0.9530726256983241,Support Vector Machine,0.886,0.8625937009532608,0.11013627921806693,0.11852203375389556,0.571
1,M5,14529.13,0.763,1.0089906316399575,0.83,0.6149553571428571,0.9441964285714286,Random Forest,0.978,0.7920393461991191,0.0425205832509386,0.1260508096500283,0.552
1,M5,14529.13,0.763,1.0089906316399575,0.83,0.6149553571428571,0.9441964285714286,Ada Boost,0.998,0.7827378698312344,0.013341664064126334,0.1288389180743667,0.543
1,M5,14529.13,0.763,1.0089906316399575,0.83,0.6149553571428571,0.9441964285714286,Support Vector Machine,0.87,0.8001343737863673,0.10285912696499033,0.12357314699150544,0.55
1,M0,14529.13,0.763,1.0023149673640728,0.77,0.7254464285714286,0.9866071428571429,Random Forest,0.984,0.8977316325488823,0.03921734310225516,0.09818250391369228,0.661
1,M0,14529.13,0.763,1.0023149673640728,0.77,0.7254464285714286,0.9866071428571429,Ada Boost,0.988,0.892531661208841,0.034496376621320685,0.10064766639547784,0.656
1,M0,14529.13,0.763,1.0023149673640728,0.77,0.7254464285714286,0.9866071428571429,Support Vector Machine,0.911,0.9022410629005447,0.09271461589199408,0.09599346701509522,0.679
2,M3,13460.71,0.774,1.1566305911540986,0.81,0.5489977728285078,0.9309576837416481,Random Forest,0.982,0.8730943129574215,0.04360045871318328,0.1159783588696351,0.574
2,M3,13460.71,0.774,1.1566305911540986,0.81,0.5489977728285078,0.9309576837416481,Ada Boost,0.999,0.8675355719689972,0.008268615361715649,0.11849118725405908,0.573
2,M3,13460.71,0.774,1.1566305911540986,0.81,0.5489977728285078,0.9309576837416481,Support Vector Machine,0.888,0.879879810641335,0.10858176642512314,0.11283515265897419,0.58
2,M5,13460.71,0.774,1.5299960991740227,0.75,0.4382647385984427,0.8765294771968855,Random Forest,0.976,0.8322746665113072,0.044113490000225554,0.11405520489807146,0.558
2,M5,13460.71,0.774,1.5299960991740227,0.75,0.4382647385984427,0.8765294771968855,Ada Boost,0.997,0.818969889720347,0.016074825037928096,0.11849258799814077,0.56
2,M5,13460.71,0.774,1.5299960991740227,0.75,0.4382647385984427,0.8765294771968855,Support Vector Machine,0.852,0.8373614145396016,0.1096813566655701,0.11231236468723323,0.561
2,M0,13460.71,0.774,0.751840693384409,0.86,0.8022346368715084,0.9921787709497206,Random Forest,0.985,0.923093114115201,0.037013511046643494,0.08795383821362418,0.672
2,M0,13460.71,0.774,0.751840693384409,0.86,0.8022346368715084,0.9921787709497206,Ada Boost,0.988,0.9211262679318639,0.03407345007480164,0.08907142054212407,0.673
2,M0,13460.71,0.774,0.751840693384409,0.86,0.8022346368715084,0.9921787709497206,Support Vector Machine,0.912,0.9229675174837744,0.09087353850269064,0.08802562762011824,0.662
3,M3,12830.59,0.767,0.9693825120329856,0.82,0.6353467561521253,0.9787472035794184,Random Forest,0.981,0.8658710992740705,0.04516635916254486,0.11658161876136595,0.556
3,M3,12830.59,0.767,0.9693825120329856,0.82,0.6353467561521253,0.9787472035794184,Ada Boost,0.999,0.8599776259441886,0.011886967653695369,0.11911531869661034,0.547
3,M3,12830.59,0.767,0.9693825120329856,0.82,0.6353467561521253,0.9787472035794184,Support Vector Machine,0.883,0.8707736325386801,0.11171392035015153,0.11443120386476145,0.568
3,M5,12830.59,0.767,1.0183609154820443,0.74,0.6346368715083799,0.9664804469273743,Random Forest,0.975,0.8135695602226796,0.043863424398922615,0.12067519368603351,0.566
3,M5,12830.59,0.767,1.0183609154820443,0.74,0.6346368715083799,0.9664804469273743,Ada Boost,0.997,0.8046285518673155,0.01636459593146131,0.12353503434692746,0.561
3,M5,12830.59,0.767,1.0183609154820443,0.74,0.6346368715083799,0.9664804469273743,Support Vector Machine,0.852,0.8154733967059233,0.10700467279516349,0.12005744211435361,0.559
3,M0,12830.59,0.767,0.902124431475997,0.86,0.7607223476297968,0.981941309255079,Random Forest,0.986,0.8791227493839897,0.03675595189897821,0.10634146288054788,0.67
3,M0,12830.59,0.767,0.902124431475997,0.86,0.7607223476297968,0.981941309255079,Ada Boost,0.989,0.8766250030534617,0.0324037034920393,0.10743453814922493,0.657
3,M0,12830.59,0.767,0.902124431475997,0.86,0.7607223476297968,0.981941309255079,Support Vector Machine,0.915,0.8830908569599355,0.08974408058473829,0.10458143153508531,0.671
4,M3,9822.79,0.738,1.3830925790071487,0.96,0.4875,0.9125,Random Forest,0.981,0.8699508562379167,0.044124822945820416,0.12126314396196379,0.539
4,M3,9822.79,0.738,1.3830925790071487,0.96,0.4875,0.9125,Ada Boost,0.999,0.8642286487797246,0.010606601717798213,0.12390223642210028,0.53
4,M3,9822.79,0.738,1.3830925790071487,0.96,0.4875,0.9125,Support Vector Machine,0.886,0.8708923442404449,0.10881176406988355,0.12082340567513662,0.569
4,M5,9822.79,0.738,1.0347135968208312,0.82,0.5961968680089486,0.9731543624161074,Random Forest,0.976,0.8299739051665171,0.044553338819890924,0.11897386159022505,0.573
4,M5,9822.79,0.738,1.0347135968208312,0.82,0.5961968680089486,0.9731543624161074,Ada Boost,0.997,0.8240256152935483,0.014618481453283717,0.12103709608668105,0.566
4,M5,9822.79,0.738,1.0347135968208312,0.82,0.5961968680089486,0.9731543624161074,Support Vector Machine,0.865,0.8305766033248173,0.10583005244258362,0.11876280873865835,0.567
4,M0,9822.79,0.738,0.8781117033958435,0.8,0.7385474860335196,0.9899441340782122,Random Forest,0.986,0.910927016903994,0.0367967389859482,0.09334442074046882,0.693
4,M0,9822.79,0.738,0.8781117033958435,0.8,0.7385474860335196,0.9899441340782122,Ada Boost,0.994,0.9106110928753007,0.025041964779146223,0.09350981119976735,0.687
4,M0,9822.79,0.738,0.8781117033958435,0.8,0.7385474860335196,0.9899441340782122,Support Vector Machine,0.922,0.9134592301923351,0.08771544903835356,0.0920080324000268,0.703
