Repetition ID,Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE
1,Full,VGGNet,0.997,0.97,0.0161245154965971,0.0486929152957594
2,Full,VGGNet,0.997,0.978,0.01730606829987678,0.03789459064299283
3,Full,VGGNet,0.997,0.978,0.01725977983637103,0.042883563284783134
4,Full,VGGNet,0.997,0.976,0.016890825912311096,0.0424735211631906
5,Full,VGGNet,0.997,0.986,0.0170293863659264,0.03420526275297414
6,Full,VGGNet,0.997,0.979,0.01647422228816887,0.043289721643826724
7,Full,VGGNet,0.997,0.981,0.01709678332318685,0.04165333119931706
8,Full,VGGNet,0.997,0.987,0.01695582495781317,0.0349428104193123
9,Full,VGGNet,0.997,0.982,0.01680476123008,0.042426406871192854
10,Full,VGGNet,0.997,0.967,0.016208022704821214,0.04538722287164087
1,Half,VGGNet,0.928,0.655,0.09463086177352502,0.21109239683134018
2,Half,VGGNet,0.929,0.625,0.09468896451012652,0.21016660058153866
3,Half,VGGNet,0.932,0.522,0.092233399590387,0.24857594412975684
4,Half,VGGNet,0.933,0.456,0.09133454987024352,0.24690078979217545
5,Half,VGGNet,0.93,0.562,0.09330058949438637,0.2551666122360055
6,Half,VGGNet,0.933,0.506,0.09104394543296111,0.2833372548748223
7,Half,VGGNet,0.931,0.418,0.09333273809334,0.26028830169640743
8,Half,VGGNet,0.935,0.362,0.09040464589831652,0.26199236630100503
9,Half,VGGNet,0.931,0.585,0.09334345183246653,0.2211334438749598
10,Half,VGGNet,0.931,0.588,0.0927739187487518,0.2371497417245062
1,Half fine-tuned,VGGNet,0.95,0.544,0.0906311204829776,0.29080921580995334
2,Half fine-tuned,VGGNet,0.945,0.603,0.09645724441429995,0.23815961034566713
3,Half fine-tuned,VGGNet,0.941,0.664,0.09915644204992433,0.2287575135378071
4,Half fine-tuned,VGGNet,0.943,0.725,0.09790301323248432,0.21267345861672537
5,Half fine-tuned,VGGNet,0.948,0.575,0.09365361712181756,0.25905597850657686
6,Half fine-tuned,VGGNet,0.944,0.614,0.09638464608017192,0.24451993783738782
7,Half fine-tuned,VGGNet,0.945,0.635,0.0962029105588807,0.2356056026498521
8,Half fine-tuned,VGGNet,0.945,0.635,0.09595311355031685,0.24764894508154078
9,Half fine-tuned,VGGNet,0.944,0.544,0.09642095207992918,0.2691839519733671
10,Half fine-tuned,VGGNet,0.943,0.536,0.09728309205612248,0.287993055471829
1,RGB superposition,VGGNet,0.97,0.742,0.07165193647069143,0.20476816158768432
2,RGB superposition,VGGNet,0.962,0.875,0.08016857239592083,0.14356183336806477
3,RGB superposition,VGGNet,0.968,0.751,0.07191661838546082,0.22006817125609054
4,RGB superposition,VGGNet,0.967,0.781,0.07455870170543476,0.18957847979135184
5,RGB superposition,VGGNet,0.968,0.739,0.07383765976789892,0.20622802913280242
6,RGB superposition,VGGNet,0.97,0.669,0.07140728254176881,0.22759613353482083
7,RGB superposition,VGGNet,0.975,0.62,0.06497691897897283,0.2493992782667985
8,RGB superposition,VGGNet,0.963,0.832,0.07833262411026455,0.17210461934532728
9,RGB superposition,VGGNet,0.969,0.732,0.07302739212103908,0.206688170924221
10,RGB superposition,VGGNet,0.964,0.779,0.07660939890117922,0.1992234925906079
1,Full,Fusion,0.997,0.983,0.016046806535881215,0.04141255848169731
2,Full,Fusion,0.997,0.985,0.015671630419327787,0.041133927602406264
3,Full,Fusion,0.997,0.986,0.016300306745579973,0.03410278580995987
4,Full,Fusion,0.997,0.985,0.015839823231336897,0.03606937759374287
5,Full,Fusion,0.997,0.988,0.016783920876839237,0.034496376621320685
6,Full,Fusion,0.997,0.986,0.015738487856207788,0.03919183588453085
7,Full,Fusion,0.997,0.98,0.01653178756214826,0.03953479480154159
8,Full,Fusion,0.997,0.989,0.016040573555830228,0.03497141690009142
9,Full,Fusion,0.997,0.985,0.01634013463836819,0.04055859958134649
10,Full,Fusion,0.997,0.982,0.01601873902652765,0.04440720662234903
